;2025;;;2024
;Immigration;Emigration;Net immigration;Net immigration
Total;55 243;32 919;22 324;34 109
Norway;7 247;9 188;-1 941;-1 896
Foreign;47 996;23 731;24 265;36 005
;;;;
EU27/EFTA;25 609;19 413;6 196;8 413
European countries outside EU27/EFTA;14 689;7 583;7 106;15 876
Africa;2 543;792;1 751;2 115
Asia;9 407;3 480;5 927;6 904
North America;1 321;819;502;168
Latin America and the Caribbean;1 337;631;706;427
Oceania;253;179;74;55
;;;;
Selected citizenship;;;;
Ukraine;12 770;6 707;6 063;14 802
Syria;1 726;100;1 626;2 399
Sweden;2 496;1 199;1 297;1 282
Spain;1 367;438;929;979
Germany;1 538;635;903;707
Romania;1 075;311;764;988
Afghanistan;781;76;705;773
Italy;954;321;633;641
United Kingdom;925;325;600;372
Pakistan;759;206;553;691
