
════════════════════════════════════════════════════════════
🔍  Level: C  (dry run)
════════════════════════════════════════════════════════════

📄  vocab-c-new.json  (195 entries)
  ✅  v-c-everyday-objects-034  norsk="kvist (en)"
  ✅  v-c-intensifiers-degree-011  norsk="knøttliten"
  ✅  v-c-intensifiers-degree-012  norsk="ørliten"
  ✅  v-c-formal-writing-016  norsk="utkast (et)"
  ✅  v-c-architecture-design-008  norsk="skisse (en/ei)"
  ✅  v-c-physical-appearance-024  norsk="yndig"
  ✅  v-c-character-temperament-032  norsk="sær"
  ✅  v-c-gastronomy-002  norsk="utsøkt"
  ✅  v-c-embodied-emotion-021  norsk="omtåket"
  ✅  v-c-complex-emotions-029  norsk="å avsky"
  ✅  v-c-cultural-heritage-001  norsk="ferd (en/ei)"
  ✅  v-c-abstract-concepts-019  norsk="framfor"
  ✅  v-c-gastronomy-003  norsk="anrettet"
  ✅  v-c-physical-appearance-025  norsk="nusselig"
  ✅  v-c-character-temperament-033  norsk="krapyl (et)"
  ✅  v-c-interpersonal-conflict-019  norsk="å lystre"
  ✅  v-c-interpersonal-conflict-020  norsk="å adlyde"
  ✅  v-c-intensifiers-degree-013  norsk="simpelthen"
  ✅  v-c-character-temperament-034  norsk="iherdig"
  ✅  v-c-complex-emotions-030  norsk="uforskyldt"
  ✅  v-c-physical-appearance-026  norsk="innbydende"
  ✅  v-c-embodied-emotion-022  norsk="oppslukt"
  ✅  v-c-everyday-objects-035  norsk="loppekasse (en/ei)"
  ✅  v-c-manner-of-motion-023  norsk="å skrape"
  ✅  v-c-nature-landscape-047  norsk="å beite"
  ✅  v-c-gastronomy-004  norsk="saftig"
  ✅  v-c-character-temperament-035  norsk="å motstå"
  ✅  v-c-nature-landscape-048  norsk="farefull"
  ✅  v-c-cultural-heritage-002  norsk="mare (en/ei)"
  ✅  v-c-nature-landscape-049  norsk="øde"
  ✅  v-c-everyday-objects-036  norsk="å lakke"
  ✅  v-c-cultural-heritage-003  norsk="ås (en)"
  ✅  v-c-archaic-025  norsk="å daue"
  ✅  v-c-archaic-026  norsk="å krepere"
  ✅  v-c-formal-writing-017  norsk="å forulykke"
  ✅  v-c-interpersonal-conflict-021  norsk="håndsrekning (en/ei)"
  ✅  v-c-intensifiers-degree-014  norsk="hersens"
  ✅  v-c-rhetoric-023  norsk="vidløftig"
  ✅  v-c-formal-writing-018  norsk="foranledning (en/ei)"
  ✅  v-c-nature-landscape-050  norsk="fossil"
  ✅  v-c-technical-025  norsk="å grunnstøte"
  ✅  v-c-interpersonal-conflict-022  norsk="flause (en)"
  ✅  v-c-gastronomy-005  norsk="raffinert"
  ✅  v-c-character-temperament-036  norsk="veik"
  ✅  v-c-embodied-emotion-023  norsk="motbydelig"
  ✅  v-c-embodied-emotion-024  norsk="oppkavet"
  ✅  v-c-character-temperament-037  norsk="spartansk"
  ✅  v-c-interpersonal-conflict-023  norsk="batalje (en)"
  ✅  v-c-character-temperament-038  norsk="dreven"
  ✅  v-c-intensifiers-degree-015  norsk="kjapp"
  ✅  v-c-intensifiers-degree-016  norsk="pur"
  ✅  v-c-architecture-design-009  norsk="sjattering (en/ei)"
